Word,Sentence 1,Sentence 2
four,I have four fingers.,There are four ducks.
away,Put your toys away.,The bird flew away.
old,My grandpa is old.,This is an old book.
by,Sit by me.,The car drove by.
their,That is their house.,I like their dog.
here,Come over here.,I am here to help.
saw,I saw a shooting star.,We saw the movie.
call,I will call you later.,Call me on the phone.
after,We play after school.,Clean up after you eat.
well,I hope you feel well.,You did that well.
think,I think it will rain.,What do you think?
ran,The dog ran fast.,I ran to catch the bus.
let,Let me help you.,Mom let me stay up.
help,I will help you.,Can you help me please?
make,Let's make a cake.,I will make my bed.
going,I am going home.,We are going to the zoo.
sleep,I need to sleep.,The baby likes to sleep.
brown,The bear is brown.,I have brown hair.
yellow,The sun is yellow.,I picked yellow flowers.
five,I have five toes.,Count to five with me.
six,There are six puppies.,I am six years old.
walk,Let's walk to school.,I walk my dog daily.
two,I have two hands.,Two plus three is five.
or,Do you want milk or juice?,We can walk or run.
before,Wash hands before eating.,I wake up before sunrise.
eat,I like to eat pizza.,Let's eat our lunch.
again,Can you say it again?,I want to play again.
play,Let's play outside.,I love to play games.
who,Who is at the door?,I know who you are.
been,I have been good today.,Where have you been?
may,May I have a cookie?,It may rain today.
stop,Stop at the red light.,The train will stop here.
off,Turn off the light.,Take off your coat.
never,I never give up.,Never run with scissors.
seven,There are seven days.,I can count to seven.
eight,I have eight crayons.,The spider has eight legs.
cold,The ice is cold.,I feel cold outside.
today,Today is sunny.,What did you do today?
fly,Birds can fly high.,I wish I could fly.
myself,I can dress myself.,I did it all by myself.
round,The ball is round.,We sat in a round circle.
tell,Tell me a story.,I will tell mom.
much,I love you so much.,How much does it cost?
keep,Keep your room clean.,I will keep this safe.
give,Give me a hug.,I will give you help.
work,Dad goes to work.,This puzzle is hard work.
first,I was first in line.,First we eat then play.
try,I will try my best.,Try to catch the ball.
new,I got new shoes.,This is my new friend.
must,I must brush my teeth.,We must be kind.
start,Let's start the game.,Start at the beginning.
black,The night is black.,I have a black cat.
white,Snow is white.,The clouds are white.
ten,I can count to ten.,There are ten fingers.
does,Does your dog bark?,What does this mean?
bring,Bring your lunch box.,I will bring my toy.
goes,The car goes fast.,Dad goes to work.
write,I can write my name.,Please write neatly.
always,I always brush my teeth.,Mom always hugs me.
drink,I drink milk daily.,Let's drink some water.
once,Once upon a time.,I went there once.
soon,Dinner will be ready soon.,I hope you feel better soon.
made,I made a picture.,Mom made cookies.
run,I can run fast.,Let's run to the park.
gave,She gave me a hug.,Dad gave me a book.
open,Please open the door.,I will open my gift.
has,She has a pet bird.,My friend has blue eyes.
find,I can't find my toy.,Help me find my shoes.
only,I have only one cookie.,This is the only way.
us,Come play with us.,Mom read to us.
three,I have three apples.,Count one two three.
our,This is our house.,Our teacher is nice.
better,I feel better now.,This tastes better.
hold,Hold my hand tight.,I can hold the baby.
buy,Mom will buy milk.,I want to buy candy.
funny,The clown is funny.,That joke was funny.
warm,The soup is warm.,I feel warm inside.
ate,I ate all my carrots.,The dog ate his food.
full,My tummy is full.,The cup is full.
those,I like those shoes.,Those birds can sing.
done,Are you done eating?,I am done with homework.
use,I can use scissors.,Use your inside voice.
fast,The car goes fast.,I can run really fast.
say,What did you say?,I want to say hello.
light,Turn on the light.,The feather is light.
pick,Pick up your toys.,I will pick an apple.
hurt,I hope you don't hurt.,My knee doesn't hurt.
pull,Pull the door open.,Help me pull this rope.
cut,Cut the paper straight.,I cut my sandwich.
kind,Be kind to others.,You are very kind.
both,I like both colors.,Both kids are nice.
sit,Please sit down.,I sit in my chair.
which,Which book do you want?,I don't know which way.
fall,Leaves fall in autumn.,Don't let the ball fall.
carry,I can carry my bag.,Help me carry this box.
small,The ant is small.,I have small hands.
under,The cat is under the bed.,Look under the rock.
read,I like to read books.,Can you read this word?
why,Why is the sky blue?,I wonder why cats purr.
own,This is my own room.,I have my own bike.
found,I found my lost toy.,We found a pretty shell.
wash,Wash your hands clean.,I help wash the dishes.
show,Show me your drawing.,I will show you how.
hot,The stove is hot.,Today is very hot.
because,I'm happy because you're here.,We stay inside because it's raining.
far,The store is far away.,How far can you throw?
live,I live in this house.,Fish live in water.
draw,I love to draw pictures.,Can you draw a cat?
clean,Please keep your room clean.,My hands are clean now.
grow,Plants need water to grow.,I want to grow tall.
best,You are my best friend.,I did my best today.
upon,The book sits upon the table.,Once upon a time.
these,These are my favorite toys.,I like these cookies.
sing,I love to sing songs.,Birds sing in the morning.
together,We play together at recess.,Let's work together.
please,May I have more please?,Please help me.
thank,Thank you for helping.,I want to thank you.
wish,I wish upon a star.,I wish you were here.
many,There are many flowers.,How many do you see?
shall,Shall we go to the park?,What shall we do today?
laugh,The joke made me laugh.,I love to laugh.
blab,Don't blab the secret.,I won't blab about it.
clam,The clam lives in sand.,I found a clam shell.
clan,Our family is a clan.,The clan met together.
clap,Clap your hands together.,I clap when I'm happy.
flag,The flag waves in wind.,Our flag has red stripes.
glad,I am glad you came.,She was glad to help.
plan,We need a good plan.,I plan to study hard.
slab,The stone slab is heavy.,We sat on the slab.
slam,Don't slam the door.,I heard the door slam.
slap,Don't slap your brother.,The wave gave a slap.
brag,Don't brag about winning.,It's not nice to brag.
bran,Bran cereal is healthy.,I eat bran for breakfast.
brat,Don't be a brat.,The little brat was crying.
crab,The crab has big claws.,I saw a crab today.
cram,Don't cram too much in.,I had to cram for test.
drab,The room looks drab.,That drab color is boring.
drag,Don't drag your feet.,I drag my sled.
grab,Grab my hand quickly.,I grab my lunch box.
grad,My sister is a grad.,The grad wore a cap.
gram,A gram is very light.,I need one gram of salt.
tram,The tram goes downtown.,We rode the tram today.
trap,The mouse is in trap.,Don't fall in the trap.
stab,Don't stab with the fork.,The thorn gave a stab.
swam,I swam in the pool.,The fish swam away.
spat,They had a little spat.,Don't spit or spat.
span,The bridge has long span.,My hand span is small.
spam,I don't like spam email.,We had spam for lunch.
snap,I heard a twig snap.,Snap your fingers loud.
bled,My cut bled a little.,The pen bled on paper.
fled,The rabbit fled quickly.,They fled from danger.
sled,I ride my sled down.,The sled goes fast.
bred,The horses were bred well.,They bred many dogs.
fret,Don't fret about the test.,I fret when mom's late.
sped,The car sped past us.,Time sped by quickly.
flex,I can flex my muscles.,Flex your arm for me.
blip,There was a small blip.,I saw a blip on screen.
clip,Use a clip for papers.,I clip my nails short.
flip,I can flip a pancake.,Flip the coin in air.
flit,The butterfly will flit.,Birds flit from tree.
glib,His answer was too glib.,Don't give glib responses.
slid,The toy slid down.,I slid on the ice.
slim,The cat is slim.,She has a slim waist.
slip,Don't slip on the ice.,I slip on my shoes.
slit,There's a slit in cloth.,The slit is very narrow.
brim,The hat has wide brim.,Water filled to the brim.
crib,The baby sleeps in crib.,I have a wooden crib.
drip,Water starts to drip down.,I heard the faucet drip.
grid,The paper has a grid.,Look at this number grid.
grim,His face looked grim.,The news was grim.
grip,I have a strong grip.,Grip the bat tightly.
grit,I have grit in shoe.,Show some grit and try.
prim,She looks very prim.,The prim lady sat straight.
trim,I need to trim nails.,Let's trim the tree.
trip,We took a fun trip.,Don't trip on the rug.
swim,I love to swim.,Fish swim in the water.
twig,I found a small twig.,The twig snapped in half.
twin,I have a twin sister.,The twin boys look alike.
spit,Don't spit on ground.,I spit out the seed.
spin,Watch the top spin around.,I like to spin fast.
blob,There's a paint blob here.,The blob moves slowly.
blog,I read her daily blog.,My mom writes a blog.
blot,There's an ink blot here.,I blot the spilled milk.
clog,My shoe has a clog.,Don't clog the drain.
clot,The blood formed a clot.,There's a clot in tube.
glob,A glob of mud fell.,I saw a glob of paint.
slob,Don't be a messy slob.,The slob left mess everywhere.
slot,Put coin in the slot.,There's a mail slot.
drop,Don't drop the glass.,A rain drop hit me.
frog,The green frog can hop.,I caught a little frog.
prod,Don't prod with stick.,I prod the sleeping cat.
prom,She went to the prom.,Prom night was magical.
prop,Use a stick to prop.,The prop held the door.
trot,The horse likes to trot.,I trot beside my horse.
stop,Please stop running now.,The bus will stop here.
spot,I found the perfect spot.,There's a spot on shirt.
blob,The blob is very sticky.,I stepped in the blob.
club,I joined the reading club.,The club meets on Monday.
glum,Why do you look glum?,I feel glum today.
plug,Put the plug in socket.,I need to plug this.
plum,The plum tastes sweet.,I ate a purple plum.
slug,The slug moves slowly.,I found a slug outside.
crud,There's crud on my shoe.,Clean off that crud.
drug,Medicine is a helpful drug.,The drug store is open.
drum,I play the loud drum.,Beat the drum with sticks.
grub,The bird found a grub.,I dug up a fat grub.
spud,A spud is a potato.,I planted the spud.
spun,The wheel spun around.,I spun in circles.
black,The night sky is black.,My black cat is soft.
class,I love my art class.,Our class has twenty kids.
glass,The glass holds water.,I drink from a glass.
slack,The rope has some slack.,Don't be slack with work.
brass,The trumpet is made brass.,The brass horn shines bright.
crack,There's a crack in wall.,I heard the ice crack.
grass,The grass is green.,I love to walk on grass.
smack,Don't smack your lips loud.,I heard a loud smack.
stack,I made a block stack.,Stack the books neatly.
staff,The staff helps students.,I need a walking staff.
bless,May God bless you always.,I bless this food.
dress,I love my new dress.,Please dress warmly today.
press,Press the button gently.,I press flowers in books.
swell,My ankle started to swell.,The waves swell and crash.
dwell,I dwell in this house.,Don't dwell on mistakes.
spell,I can spell my name.,Cast a magic spell.
speck,There's a speck of dirt.,I see a tiny speck.
bliss,Playing brings me bliss.,The baby sleeps in bliss.
cliff,Don't fall off the cliff.,The cliff is very high.
chick,The chick is yellow.,I held the baby chick.
slick,The road is slick.,That was a slick move.
brick,The house has red brick.,I found an old brick.
drill,Dad uses his power drill.,We had a fire drill.
frizz,My hair has some frizz.,The humidity causes frizz.
grill,We cook on the grill.,Dad cleaned the grill.
skill,Reading is a useful skill.,I practice this skill daily.
sniff,I sniff the pretty flowers.,Dogs like to sniff things.
stick,I found a long stick.,Please stick to the plan.
trick,I learned a magic trick.,Don't try to trick me.
still,Please sit very still.,The water is still.
flick,I flick the light switch.,Flick the bug away.
stiff,The cardboard is stiff.,My neck feels stiff.
block,I built with each block.,The block is very heavy.
clock,The clock shows three.,I hear the clock tick.
gloss,The paint has nice gloss.,Lip gloss makes lips shine.
cross,I cross the street safely.,Don't cross your arms.
frock,She wore a pretty frock.,The frock has flowers.
smock,I wear a smock painting.,The art smock is messy.
stock,The store has good stock.,We need to stock supplies.
flock,The flock of sheep moved.,Birds fly in a flock.
bluff,Don't try to bluff me.,I climbed up the bluff.
cluck,The chicken likes to cluck.,I heard the hen cluck.
fluff,The pillow has soft fluff.,I fluff my hair up.
pluck,I pluck the guitar strings.,Don't pluck the flowers.
gruff,The old man sounds gruff.,His gruff voice scared me.
truck,The big truck drives by.,I love my toy truck.
snuff,Don't snuff out the candle.,I snuff the flame out.
scuff,Don't scuff your new shoes.,There's a scuff mark.
stuck,My toy is stuck high.,I got stuck in mud.
stuff,I have too much stuff.,What stuff do you need?
